집계일자,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
2023-10-01,0,1,0,0,262625,1627,2524,2198,609,1699,271282
2023-10-01,0,1,0,1,36936,287,333,245,100,3148,41049
2023-10-01,0,1,8,0,11655,28,52,37,77,66,11915
2023-10-01,0,1,8,1,12089,0,41,2,0,0,12132
2023-10-01,0,1,26,1,6072,18,21,3,2,540,6656
2023-10-01,0,1,44,1,348,2,1,0,0,54,405
2023-10-01,0,1,10,0,9469,104,68,42,6,32,9721
2023-10-01,0,1,10,1,356,4,4,0,0,43,407
2023-10-01,0,1,18,0,5050,41,54,75,26,30,5276
2023-10-01,0,1,45,0,925,9,10,19,8,108,1079
2023-10-01,0,1,34,0,4886,13,46,21,3,13,4982
2023-10-01,0,1,28,0,5286,21,19,11,3,381,5721
2023-10-01,0,1,37,0,1816,10,39,83,16,42,2006
2023-10-01,0,1,48,0,917,21,16,10,2,144,1110
2023-10-01,0,1,1,0,6912,20,39,38,16,63,7088
2023-10-01,0,1,49,0,1223,17,26,30,0,9,1305
2023-10-01,0,1,46,0,255,3,6,2,1,30,297
2023-10-01,0,1,11,0,10695,93,83,75,21,268,11235
2023-10-01,0,1,2,0,8936,48,79,83,6,66,9218
2023-10-01,0,2,0,0,3166016,18106,42104,14895,13284,96053,3350458
2023-10-01,0,2,0,1,551088,3700,5857,2018,1758,23123,587544
2023-10-01,0,2,27,1,33957,87,74,22,14,1574,35728
2023-10-01,0,2,8,0,111593,281,671,203,982,3851,117581
2023-10-01,0,2,8,1,6545,12,16,0,3,208,6784
2023-10-01,0,2,26,1,17583,66,76,3,1,1063,18792
2023-10-01,0,2,44,1,3936,9,88,1,0,164,4198
2023-10-01,0,2,24,1,10045,26,127,0,0,101,10299
2023-10-01,0,2,10,0,123563,412,1255,594,210,3987,130021
2023-10-01,0,2,10,1,5971,13,18,17,2,244,6265
2023-10-01,0,2,18,0,80475,695,1634,846,981,3396,88027
2023-10-01,0,2,45,0,80815,205,826,418,711,2457,85432
2023-10-01,0,2,34,0,85864,410,715,535,167,2774,90465
2023-10-01,0,2,28,0,62036,414,351,86,32,2776,65695
2023-10-01,0,2,37,0,17054,111,231,409,344,978,19127
2023-10-01,0,2,48,0,65168,434,233,171,343,2484,68833
2023-10-01,0,2,1,0,206547,589,3007,1078,1150,4306,216677
2023-10-01,0,2,49,0,90745,952,702,1133,368,3417,97317
2023-10-01,0,2,46,0,8033,51,268,71,86,227,8736
2023-10-01,0,2,11,0,119787,589,915,547,346,4299,126483
